graph_id,graph_nodes,graph_edges,num_nodes,num_edges,average_score,problem_scores,total_evaluation_time,num_problems_evaluated
44,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Explain""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.7604777178564958,"[1.0, 1.0, 0.1, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.5047771785649584]",2.22730028629303,10
45,"[[0, ""START""], [1, ""Decompose_3""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Explain""], [6, ""Python_solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [2, 3], [3, 4], [5, 3], [6, 3]]",7,8,0.8156260404184948,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 0.06876040418494771]",2.1707692384719848,10
46,"[[0, ""START""], [1, ""Extract_topic""], [2, ""Solver""], [3, ""Validator""], [4, ""True_pass""], [5, ""Combine_any""], [6, ""Extract_topic""], [7, ""END""], [8, ""False_pass""], [9, ""Extract_topic""]]","[[0, 1], [1, 2], [2, 3], [3, 4], [3, 8], [4, 5], [5, 6], [6, 7], [8, 9], [9, 5]]",10,10,0.6067761485826002,"[0.3733333333333333, 0.35, 1.0, 0.6363636363636364, 0.4666666666666666, 1.0, 0.15806451612903225, 0.5833333333333334, 0.5, 1.0]",3.583276295661926,10
47,"[[0, ""START""], [1, ""Decompose_3""], [2, ""Solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Python_solver""], [6, ""Explain""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [2, 3], [3, 4], [5, 3], [6, 3]]",7,8,0.7394147829704618,"[1.0, 1.0, 0.1, 1.0, 1.0, 1.0, 0.09999999999999999, 1.0, 1.0, 0.1941478297046179]",4.422801685333252,10
48,"[[0, ""START""], [1, ""Solver""], [2, ""Validator""], [3, ""True_pass""], [4, ""Combine_any""], [5, ""Python_solver""], [6, ""END""], [7, ""False_pass""], [8, ""Extract_topic""]]","[[0, 1], [1, 2], [2, 3], [2, 7], [3, 4], [4, 5], [5, 6], [7, 8], [8, 4]]",9,9,0.7294192913385826,"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0875, 0.20669291338582674, 1.0, 1.0]",4.38678469657898,10
49,"[[0, ""START""], [1, ""Solver""], [2, ""Validator""], [3, ""True_pass""], [4, ""Combine_any""], [5, ""END""], [6, ""False_pass""], [7, ""Explain""]]","[[0, 1], [1, 2], [2, 3], [2, 6], [3, 4], [4, 5], [6, 7], [7, 4]]",8,8,0.6829166666666666,"[0.65625, 0.35, 1.0, 1.0, 0.4666666666666666, 1.0, 0.09999999999999999, 0.65625, 0.6, 1.0]",6.782285976409912,10
50,"[[0, ""START""], [1, ""Split""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""Python_solver""], [5, ""END""], [6, ""Extract_topic""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 7], [7, 3]]",8,8,0.4085,"[0.02333333333333333, 0.3333333333333333, 0.2333333333333333, 1.0, 1.0, 0.35, 0.09999999999999999, 1.0, 0.009999999999999998, 0.034999999999999996]",12.611902570724487,10
51,"[[0, ""START""], [1, ""Extract_topic""], [2, ""Solver""], [3, ""Validator""], [4, ""True_pass""], [5, ""Combine_any""], [6, ""Extract_topic""], [7, ""END""], [8, ""False_pass""], [9, ""Explain""]]","[[0, 1], [1, 2], [2, 3], [3, 4], [3, 8], [4, 5], [5, 6], [6, 7], [8, 9], [9, 5]]",10,10,0.7147192513368983,"[0.6176470588235293, 1.0, 1.0, 0.44545454545454544, 0.5249999999999999, 1.0, 1.0, 0.5965909090909091, 0.6124999999999999, 0.35]",6.914975810050964,10
52,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Extract_topic""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Explain""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.61875,"[1.0, 1.0, 0.1, 0.0, 1.0, 0.0, 0.0875, 1.0, 1.0, 1.0]",2.827932667732239,10
53,"[[0, ""START""], [1, ""Split""], [2, ""Solver""], [3, ""Combine_all""], [4, ""Solver""], [5, ""END""], [6, ""Solver""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 3]]",7,7,0.743625,"[0.65625, 0.35, 1.0, 1.0, 0.4666666666666666, 1.0, 1.0, 0.5833333333333334, 0.37999999999999995, 1.0]",3.44382266998291,10
54,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""Solver""], [5, ""END""], [6, ""Extract_topic""], [7, ""Explain""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 7], [7, 3]]",8,8,0.66775,"[1.0, 1.0, 0.1, 1.0, 1.0, 0.35, 0.0875, 1.0, 1.0, 0.13999999999999999]",9.227184295654297,10
55,"[[0, ""START""], [1, ""Explain""], [2, ""Solver""], [3, ""END""]]","[[0, 1], [1, 2], [2, 3]]",4,3,0.6405113636363636,"[0.65625, 0.35, 1.0, 0.6363636363636364, 0.4666666666666666, 1.0, 0.09999999999999999, 0.5833333333333334, 0.6124999999999999, 1.0]",6.8172550916671755,10
56,"[[0, ""START""], [1, ""Decompose_3""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Explain""], [6, ""Explain""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [2, 3], [3, 4], [5, 3], [6, 3]]",7,8,0.6327499999999999,"[1.0, 1.0, 0.1, 1.0, 1.0, 1.0, 0.0875, 1.0, 0.0, 0.13999999999999999]",4.554671430587769,10
57,"[[0, ""START""], [1, ""Decompose_3""], [2, ""Extract_topic""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Python_solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [2, 3], [3, 4], [5, 3], [6, 3]]",7,8,0.77175,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0875, 1.0, 1.0, 0.63]",1.5931796312332154,10
58,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Explain""], [3, ""Combine_all""], [4, ""END""], [5, ""Solver""], [6, ""Extract_topic""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.700580808080808,"[0.5249999999999999, 0.35, 1.0, 0.6363636363636364, 0.31111111111111106, 1.0, 1.0, 0.5833333333333334, 0.6, 1.0]",2.941696619987488,10
59,"[[0, ""START""], [1, ""Split""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""Solver""], [5, ""END""], [6, ""Explain""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 7], [7, 3]]",8,8,0.69275,"[0.35, 1.0, 1.0, 1.0, 1.0, 0.35, 0.0875, 1.0, 1.0, 0.13999999999999999]",9.094544076919556,10
60,"[[0, ""START""], [1, ""Extract_topic""], [2, ""Python_solver""], [3, ""Validator""], [4, ""True_pass""], [5, ""Combine_any""], [6, ""Extract_topic""], [7, ""END""], [8, ""False_pass""], [9, ""Solver""]]","[[0, 1], [1, 2], [2, 3], [3, 4], [3, 8], [4, 5], [5, 6], [6, 7], [8, 9], [9, 5]]",10,10,0.7537499999999999,"[1.0, 1.0, 0.1, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 0.35]",6.282230234146118,10
61,"[[0, ""START""], [1, ""Extract_topic""], [2, ""Solver""], [3, ""END""]]","[[0, 1], [1, 2], [2, 3]]",4,3,0.6784455128205128,"[0.65625, 0.35, 1.0, 1.0, 0.4666666666666666, 1.0, 0.09999999999999999, 0.5833333333333334, 0.6282051282051282, 1.0]",2.3963176250457763,10
62,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Solver""], [3, ""Combine_all""], [4, ""Extract_topic""], [5, ""END""], [6, ""Solver""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 3]]",7,7,0.5096363636363637,"[0.4433333333333333, 0.35, 1.0, 0.6363636363636364, 0.2333333333333333, 1.0, 0.09999999999999999, 0.5833333333333334, 0.39999999999999997, 0.35]",5.053738474845886,10
